boundary_id	disposition	keep_roots	provenance_terminal_ids	rationale
full_segmentation_measurements	retained_local	data/image_processing_runs/full_segmentation_classification_nuclear/run_20260721_163410	data_file:run_20260721_163410/repair_manifest.csv;data_file:run_20260721_163410/master_manifest.csv;raw_source:run_20260721_163410/original_shard_measurements;raw_source:run_20260721_163410/reprocessed_35_fields	Current manifest, original shards, and repaired measurements are retained together.
plate_map_sources	unresolved	NA	unresolved:source_plate_map_pngs	Original plate-layout images were not identified in the repository and remain an explicit provenance gap.
microscopy_acquisitions	retained_primary	all_raw	raw_source:filename_encoded_acquisition_identity;raw_source:all_raw_acquisition_tiffs	The broad microscopy acquisition collection and filename-encoded identities are retained.
validation_benchmark	retained_curated	data/image_processing_runs/run_20260324_233122;all_raw	data_file:run_20260324_233122/annotation_stack_90_manifest.csv;data_file:run_20260324_233122/annotation_stack_90_Results.csv;raw_source:validation90_phase_alive_dead_tiffs	The frame manifest, human point annotations, annotation stack, and source microscopy collection are retained.
resnet_backbone_weights	external	NA	external:resnet18-f37072fd.pth	External pretrained feature-backbone weights are identified but not vendored.
validation_classifier_source	unresolved	NA	unresolved:validation_ObjectClassifier_execution_source	The exact historical classifier execution source remains unresolved.
validation_segmentation_weights	unresolved	NA	unresolved:validation_CPSAM_model_weights	The exact validation segmentation weights remain unresolved.
training_image_construction	external	NA	external:imutils.image_utils#training_image_construction;external:imutils.curation_controller.CurationController;external:imutils.object_classification.ObjectClassifier	The historical imutils training implementation is an identified external dependency.
classifier_curated_labels	retained_curated	data/train/cellpose_inputs;data/train/classifier_training_outputs;data/train/composites;data/train/train_image_ids.csv	data_file:data/train/classifier_training_outputs/session_labels.json	Human curation labels, matched training images, sampling manifest, and the trained classifier package are retained together.
selected_validation_montage	retained_local	data/image_processing_validation/segmentation_classifier_90frame/20260722;all_raw	raw_source:selected_montage_phase_alive_dead_tiffs_and_masks	The current validation release and underlying local microscopy collection are retained.
glucose_assays	retained_primary	data/glucose	data_file:data/glucose/processed/MCF10A.MDA-MB-231/calibration.csv;data_file:data/glucose/processed/MCF10A.MDA-MB-231/data.csv;data_file:data/glucose/processed/SUM-159-chem.SNU668/calibration.csv;data_file:data/glucose/processed/SUM-159-chem.SNU668/data.csv;data_file:data/glucose/processed/SUM-159-fuse-gluccell/calibration.csv;data_file:data/glucose/processed/SUM-159-fuse-gluccell/data.csv;data_file:data/glucose/processed/SUM-159-fuse/calibration.csv;data_file:data/glucose/processed/SUM-159-fuse/data.csv	Received XLSX workbooks, the manual-processing README, and all processed assay/calibration inputs are retained as one source package.
approved_model_schematic	retained_curated	figures/user-approved-raster-figures	data_file:figures/user-approved-raster-figures/model_family_schematic_placeholder.png	The user-approved raster source used directly by the manuscript is retained.
competition_inputs	retained_local	data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217;all_raw	data_file:sum159_competition_resegmentation/input_manifest.tsv;raw_source:sum159_competition_phase_green_alive_dead_images	The current competition manifest, measurements, and local raw-image collection are retained; absolute external source paths remain declared by the figure manifest.
legacy_cellpose_state	unresolved	NA	unresolved:run_20260324_233122/cellpose_default_model	The historical default Cellpose model identity remains unresolved.
targeted_nuclear_inputs	retained_local	data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700;all_raw	data_file:SUM159/targeted_nuclear_mask_manifest.csv;raw_source:SUM159/targeted_nuclear_phase_alive_dead_tiffs	The current targeted masks, measurements, and local raw-image collection are retained.
cytoplasmic_red_inputs	retained_local	data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700;data/image_processing_runs/full_segmentation_classification_nuclear/run_20260721_163410;all_raw	raw_source:SUM159/selected_red_cell_nuclear_image_collection	The selected red channels and exact current cell/nuclear masks remain covered by retained roots.
multimodal_inputs	retained_local	data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700;data/image_processing_runs/sum159_competition_resegmentation/run_20260720_143217;all_raw	raw_source:SUM159/selected_multimodal_channels_and_masks	The selected multimodal channels and masks remain covered by retained roots; absolute external source paths remain declared by the figure manifest.
